Name,Price,Requirements
20GB + 20GB LTE,R199,LTE Monthly Data
40GB + 40GB LTE,R279,LTE Monthly Data
80GB + 80GB LTE,R399,LTE Monthly Data
120GB + 120GB LTE,R479,LTE Monthly Data
180GB + 180GB LTE,R549,LTE Monthly Data
Home and Business Uncapped,From R649 PM,Promo
2TB,R995,LTE Monthly Data
